date,province,confirmed,deaths,recovered
2020-05-06,GB,388,3,288
2020-05-06,Islamabad,521,4,56
2020-05-06,KPK,3712,203,939
2020-05-06,Punjab,9077,175,3184
2020-05-06,Sindh,8640,157,1731
2020-05-07,AJK,78,0,58
2020-05-07,Balochistan,1725,24,209
2020-05-07,GB,394,3,292
2020-05-07,Islamabad,558,4,72
2020-05-07,KPK,3956,209,984
2020-05-07,Punjab,10033,183,4062
2020-05-07,Sindh,9093,171,1853
2020-05-08,AJK,79,0,60
2020-05-08,Balochistan,1876,24,222
2020-05-08,GB,421,3,298
2020-05-08,Islamabad,609,4,72
2020-05-08,KPK,4327,221,1033
2020-05-08,Punjab,10471,191,4131
2020-05-08,Sindh,9691,175,1940
2020-05-09,AJK,86,0,60
2020-05-09,Balochistan,1935,24,242
2020-05-09,GB,430,4,303
2020-05-09,Islamabad,641,5,72
2020-05-09,KPK,4509,234,1086
2020-05-09,Punjab,11093,192,4240
2020-05-09,Sindh,10771,180,2020
2020-05-10,AJK,86,1,64
2020-05-10,Balochistan,2017,26,242
2020-05-10,GB,442,4,304
2020-05-10,Islamabad,679,6,72
2020-05-10,KPK,4669,245,1126
2020-05-10,Punjab,11568,197,4323
2020-05-10,Sindh,11480,189,2081
2020-05-11,AJK,86,1,64
2020-05-11,Balochistan,2061,27,242
2020-05-11,GB,457,4,320
2020-05-11,Islamabad,716,6,72
2020-05-11,KPK,4875,257,1256
2020-05-11,Punjab,11869,211,4452
2020-05-11,Sindh,12017,200,2149
2020-05-12,AJK,88,1,68
2020-05-12,Balochistan,2158,27,256
2020-05-12,GB,475,4,331
2020-05-12,Islamabad,759,6,92
2020-05-12,KPK,5021,267,1305
2020-05-12,Punjab,13225,214,4531
2020-05-12,Sindh,12610,218,2229
2020-05-13,AJK,91,1,69
2020-05-13,Balochistan,2239,27,326
2020-05-13,GB,482,4,337
2020-05-13,Islamabad,822,6,100
2020-05-13,KPK,5252,275,1392
2020-05-13,Punjab,13561,223,4636
2020-05-13,Sindh,13341,234,2835
2020-05-14,AJK,105,1,76
2020-05-14,Balochistan,2310,30,342
2020-05-14,GB,501,4,339
2020-05-14,Islamabad,866,7,100
2020-05-14,KPK,5423,284,1505
2020-05-14,Punjab,13914,234,4720
2020-05-14,Sindh,14099,243,3073
2020-05-15,AJK,108,1,76
2020-05-15,Balochistan,2457,31,383
2020-05-15,GB,518,4,345
2020-05-15,Islamabad,921,7,100
2020-05-15,KPK,5678,291,1613
2020-05-15,Punjab,14201,245,4757
2020-05-15,Sindh,14916,255,3606
2020-05-16,AJK,112,1,77
2020-05-16,Balochistan,2544,36,417
2020-05-16,GB,527,4,348
2020-05-16,Islamabad,947,7,113
2020-05-16,KPK,5847,305,1699
2020-05-16,Punjab,14584,252,4883
2020-05-16,Sindh,15590,268,3804
2020-05-17,AJK,112,1,77
2020-05-17,Balochistan,2692,36,454
2020-05-17,GB,540,4,368
2020-05-17,Islamabad,997,7,113
2020-05-17,KPK,6061,318,1783
2020-05-17,Punjab,15346,260,4918
2020-05-17,Sindh,16377,277,4209
2020-05-18,AJK,115,1,77
2020-05-18,Balochistan,2820,38,524
2020-05-18,GB,550,4,368
2020-05-18,Islamabad,1034,9,113
2020-05-18,KPK,6230,334,1944
2020-05-18,Punjab,15976,273,4974
2020-05-18,Sindh,17241,280,4489
2020-05-19,AJK,133,1,77
2020-05-19,Balochistan,2885,38,608
2020-05-19,GB,556,4,390
2020-05-19,Islamabad,1138,9,151
2020-05-19,KPK,6554,345,2058
2020-05-19,Punjab,16685,289,5076
2020-05-19,Sindh,17947,299,4741
2020-05-20,AJK,148,1,79
2020-05-20,Balochistan,2968,38,636
2020-05-20,GB,579,4,402
2020-05-20,Islamabad,1235,10,151
2020-05-20,KPK,6815,351,2130
2020-05-20,Punjab,17382,297,5112
2020-05-20,Sindh,18964,316,5645
2020-05-21,AJK,158,1,79
2020-05-21,Balochistan,3074,39,724
2020-05-21,GB,602,4,412
2020-05-21,Islamabad,1326,12,151
2020-05-21,KPK,7155,365,2198
2020-05-21,Punjab,18455,310,5312
2020-05-21,Sindh,19924,336,6325
2020-05-22,AJK,171,1,94
2020-05-22,Balochistan,3198,39,762
2020-05-22,GB,607,4,427
2020-05-22,Islamabad,1457,12,152
2020-05-22,KPK,7391,381,2297
2020-05-22,Punjab,18730,324,5906
2020-05-22,Sindh,20883,340,7015
2020-05-23,AJK,197,1,97
2020-05-23,Balochistan,3306,39,860
2020-05-23,GB,619,4,430
2020-05-23,Islamabad,1592,14,152
2020-05-23,KPK,7685,389,2396
