Alue;Aika;val
Länsi-Pohjan SHP;2020-10-05;
Lapin SHP;2020-10-05;
Helsingin ja Uudenmaan SHP;2020-10-05;
Kaikki Alueet;2020-10-05;
Ahvenanmaa;2020-10-06;
Varsinais-Suomen SHP;2020-10-06;
Satakunnan SHP;2020-10-06;
Kanta-Hämeen SHP;2020-10-06;
Pirkanmaan SHP;2020-10-06;
Päijät-Hämeen SHP;2020-10-06;
Kymenlaakson SHP;2020-10-06;
Etelä-Karjalan SHP;2020-10-06;
Etelä-Savon SHP;2020-10-06;
Itä-Savon SHP;2020-10-06;
Pohjois-Karjalan SHP;2020-10-06;
Pohjois-Savon SHP;2020-10-06;
Keski-Suomen SHP;2020-10-06;
Etelä-Pohjanmaan SHP;2020-10-06;
Vaasan SHP;2020-10-06;
Keski-Pohjanmaan SHP;2020-10-06;
Pohjois-Pohjanmaan SHP;2020-10-06;
Kainuun SHP;2020-10-06;
Länsi-Pohjan SHP;2020-10-06;
Lapin SHP;2020-10-06;
Helsingin ja Uudenmaan SHP;2020-10-06;
Kaikki Alueet;2020-10-06;
Ahvenanmaa;2020-10-07;
Varsinais-Suomen SHP;2020-10-07;
Satakunnan SHP;2020-10-07;
Kanta-Hämeen SHP;2020-10-07;
Pirkanmaan SHP;2020-10-07;
Päijät-Hämeen SHP;2020-10-07;
Kymenlaakson SHP;2020-10-07;
Etelä-Karjalan SHP;2020-10-07;
Etelä-Savon SHP;2020-10-07;
Itä-Savon SHP;2020-10-07;
Pohjois-Karjalan SHP;2020-10-07;
Pohjois-Savon SHP;2020-10-07;
Keski-Suomen SHP;2020-10-07;
Etelä-Pohjanmaan SHP;2020-10-07;
Vaasan SHP;2020-10-07;
Keski-Pohjanmaan SHP;2020-10-07;
Pohjois-Pohjanmaan SHP;2020-10-07;
Kainuun SHP;2020-10-07;
Länsi-Pohjan SHP;2020-10-07;
Lapin SHP;2020-10-07;
Helsingin ja Uudenmaan SHP;2020-10-07;
Kaikki Alueet;2020-10-07;
Ahvenanmaa;2020-10-08;
Varsinais-Suomen SHP;2020-10-08;
Satakunnan SHP;2020-10-08;
Kanta-Hämeen SHP;2020-10-08;
Pirkanmaan SHP;2020-10-08;
Päijät-Hämeen SHP;2020-10-08;
Kymenlaakson SHP;2020-10-08;
Etelä-Karjalan SHP;2020-10-08;
Etelä-Savon SHP;2020-10-08;
Itä-Savon SHP;2020-10-08;
Pohjois-Karjalan SHP;2020-10-08;
Pohjois-Savon SHP;2020-10-08;
Keski-Suomen SHP;2020-10-08;
Etelä-Pohjanmaan SHP;2020-10-08;
Vaasan SHP;2020-10-08;
Keski-Pohjanmaan SHP;2020-10-08;
Pohjois-Pohjanmaan SHP;2020-10-08;
Kainuun SHP;2020-10-08;
Länsi-Pohjan SHP;2020-10-08;
Lapin SHP;2020-10-08;
Helsingin ja Uudenmaan SHP;2020-10-08;
Kaikki Alueet;2020-10-08;
Ahvenanmaa;2020-10-09;
Varsinais-Suomen SHP;2020-10-09;
Satakunnan SHP;2020-10-09;
Kanta-Hämeen SHP;2020-10-09;
Pirkanmaan SHP;2020-10-09;
Päijät-Hämeen SHP;2020-10-09;
Kymenlaakson SHP;2020-10-09;
Etelä-Karjalan SHP;2020-10-09;
Etelä-Savon SHP;2020-10-09;
Itä-Savon SHP;2020-10-09;
Pohjois-Karjalan SHP;2020-10-09;
Pohjois-Savon SHP;2020-10-09;
Keski-Suomen SHP;2020-10-09;
Etelä-Pohjanmaan SHP;2020-10-09;
Vaasan SHP;2020-10-09;
Keski-Pohjanmaan SHP;2020-10-09;
Pohjois-Pohjanmaan SHP;2020-10-09;
Kainuun SHP;2020-10-09;
Länsi-Pohjan SHP;2020-10-09;
Lapin SHP;2020-10-09;
Helsingin ja Uudenmaan SHP;2020-10-09;
Kaikki Alueet;2020-10-09;
Ahvenanmaa;2020-10-10;
Varsinais-Suomen SHP;2020-10-10;
Satakunnan SHP;2020-10-10;
Kanta-Hämeen SHP;2020-10-10;
Pirkanmaan SHP;2020-10-10;
Päijät-Hämeen SHP;2020-10-10;
Kymenlaakson SHP;2020-10-10;
Etelä-Karjalan SHP;2020-10-10;
Etelä-Savon SHP;2020-10-10;
Itä-Savon SHP;2020-10-10;
Pohjois-Karjalan SHP;2020-10-10;
Pohjois-Savon SHP;2020-10-10;
Keski-Suomen SHP;2020-10-10;
Etelä-Pohjanmaan SHP;2020-10-10;
Vaasan SHP;2020-10-10;
Keski-Pohjanmaan SHP;2020-10-10;
Pohjois-Pohjanmaan SHP;2020-10-10;
Kainuun SHP;2020-10-10;
Länsi-Pohjan SHP;2020-10-10;
Lapin SHP;2020-10-10;
Helsingin ja Uudenmaan SHP;2020-10-10;
Kaikki Alueet;2020-10-10;
Ahvenanmaa;2020-10-11;
Varsinais-Suomen SHP;2020-10-11;
Satakunnan SHP;2020-10-11;
Kanta-Hämeen SHP;2020-10-11;
Pirkanmaan SHP;2020-10-11;
Päijät-Hämeen SHP;2020-10-11;
Kymenlaakson SHP;2020-10-11;
Etelä-Karjalan SHP;2020-10-11;
Etelä-Savon SHP;2020-10-11;
Itä-Savon SHP;2020-10-11;
Pohjois-Karjalan SHP;2020-10-11;
Pohjois-Savon SHP;2020-10-11;
Keski-Suomen SHP;2020-10-11;
Etelä-Pohjanmaan SHP;2020-10-11;
Vaasan SHP;2020-10-11;
Keski-Pohjanmaan SHP;2020-10-11;
Pohjois-Pohjanmaan SHP;2020-10-11;
Kainuun SHP;2020-10-11;
Länsi-Pohjan SHP;2020-10-11;
Lapin SHP;2020-10-11;
Helsingin ja Uudenmaan SHP;2020-10-11;
Kaikki Alueet;2020-10-11;
Ahvenanmaa;2020-10-12;
Varsinais-Suomen SHP;2020-10-12;
Satakunnan SHP;2020-10-12;
Kanta-Hämeen SHP;2020-10-12;
Pirkanmaan SHP;2020-10-12;
Päijät-Hämeen SHP;2020-10-12;
Kymenlaakson SHP;2020-10-12;
Etelä-Karjalan SHP;2020-10-12;
Etelä-Savon SHP;2020-10-12;
Itä-Savon SHP;2020-10-12;
Pohjois-Karjalan SHP;2020-10-12;
Pohjois-Savon SHP;2020-10-12;
Keski-Suomen SHP;2020-10-12;
Etelä-Pohjanmaan SHP;2020-10-12;
Vaasan SHP;2020-10-12;
Keski-Pohjanmaan SHP;2020-10-12;
Pohjois-Pohjanmaan SHP;2020-10-12;
Kainuun SHP;2020-10-12;
Länsi-Pohjan SHP;2020-10-12;
Lapin SHP;2020-10-12;
Helsingin ja Uudenmaan SHP;2020-10-12;
Kaikki Alueet;2020-10-12;
Ahvenanmaa;2020-10-13;
Varsinais-Suomen SHP;2020-10-13;
Satakunnan SHP;2020-10-13;
Kanta-Hämeen SHP;2020-10-13;
Pirkanmaan SHP;2020-10-13;
Päijät-Hämeen SHP;2020-10-13;
Kymenlaakson SHP;2020-10-13;
Etelä-Karjalan SHP;2020-10-13;
Etelä-Savon SHP;2020-10-13;
Itä-Savon SHP;2020-10-13;
Pohjois-Karjalan SHP;2020-10-13;
Pohjois-Savon SHP;2020-10-13;
Keski-Suomen SHP;2020-10-13;
Etelä-Pohjanmaan SHP;2020-10-13;
Vaasan SHP;2020-10-13;
Keski-Pohjanmaan SHP;2020-10-13;
Pohjois-Pohjanmaan SHP;2020-10-13;
Kainuun SHP;2020-10-13;
Länsi-Pohjan SHP;2020-10-13;
Lapin SHP;2020-10-13;
Helsingin ja Uudenmaan SHP;2020-10-13;
Kaikki Alueet;2020-10-13;
Ahvenanmaa;2020-10-14;
Varsinais-Suomen SHP;2020-10-14;
Satakunnan SHP;2020-10-14;
Kanta-Hämeen SHP;2020-10-14;
Pirkanmaan SHP;2020-10-14;
Päijät-Hämeen SHP;2020-10-14;
Kymenlaakson SHP;2020-10-14;
Etelä-Karjalan SHP;2020-10-14;
Etelä-Savon SHP;2020-10-14;
Itä-Savon SHP;2020-10-14;
Pohjois-Karjalan SHP;2020-10-14;
Pohjois-Savon SHP;2020-10-14;
Keski-Suomen SHP;2020-10-14;
Etelä-Pohjanmaan SHP;2020-10-14;
Vaasan SHP;2020-10-14;
Keski-Pohjanmaan SHP;2020-10-14;
Pohjois-Pohjanmaan SHP;2020-10-14;
Kainuun SHP;2020-10-14;
Länsi-Pohjan SHP;2020-10-14;
Lapin SHP;2020-10-14;
Helsingin ja Uudenmaan SHP;2020-10-14;
Kaikki Alueet;2020-10-14;
Ahvenanmaa;2020-10-15;
Varsinais-Suomen SHP;2020-10-15;
Satakunnan SHP;2020-10-15;
Kanta-Hämeen SHP;2020-10-15;
Pirkanmaan SHP;2020-10-15;
Päijät-Hämeen SHP;2020-10-15;
Kymenlaakson SHP;2020-10-15;
Etelä-Karjalan SHP;2020-10-15;
Etelä-Savon SHP;2020-10-15;
Itä-Savon SHP;2020-10-15;
Pohjois-Karjalan SHP;2020-10-15;
Pohjois-Savon SHP;2020-10-15;
Keski-Suomen SHP;2020-10-15;
Etelä-Pohjanmaan SHP;2020-10-15;
Vaasan SHP;2020-10-15;
Keski-Pohjanmaan SHP;2020-10-15;
Pohjois-Pohjanmaan SHP;2020-10-15;
Kainuun SHP;2020-10-15;
Länsi-Pohjan SHP;2020-10-15;
Lapin SHP;2020-10-15;
Helsingin ja Uudenmaan SHP;2020-10-15;
Kaikki Alueet;2020-10-15;
Ahvenanmaa;2020-10-16;
Varsinais-Suomen SHP;2020-10-16;
Satakunnan SHP;2020-10-16;
Kanta-Hämeen SHP;2020-10-16;
Pirkanmaan SHP;2020-10-16;
Päijät-Hämeen SHP;2020-10-16;
Kymenlaakson SHP;2020-10-16;
Etelä-Karjalan SHP;2020-10-16;
Etelä-Savon SHP;2020-10-16;
Itä-Savon SHP;2020-10-16;
Pohjois-Karjalan SHP;2020-10-16;
Pohjois-Savon SHP;2020-10-16;
Keski-Suomen SHP;2020-10-16;
Etelä-Pohjanmaan SHP;2020-10-16;
Vaasan SHP;2020-10-16;
Keski-Pohjanmaan SHP;2020-10-16;
Pohjois-Pohjanmaan SHP;2020-10-16;
Kainuun SHP;2020-10-16;
Länsi-Pohjan SHP;2020-10-16;
Lapin SHP;2020-10-16;
Helsingin ja Uudenmaan SHP;2020-10-16;
Kaikki Alueet;2020-10-16;
Ahvenanmaa;2020-10-17;
Varsinais-Suomen SHP;2020-10-17;
Satakunnan SHP;2020-10-17;
Kanta-Hämeen SHP;2020-10-17;
Pirkanmaan SHP;2020-10-17;
Päijät-Hämeen SHP;2020-10-17;
Kymenlaakson SHP;2020-10-17;
Etelä-Karjalan SHP;2020-10-17;
Etelä-Savon SHP;2020-10-17;
Itä-Savon SHP;2020-10-17;
Pohjois-Karjalan SHP;2020-10-17;
Pohjois-Savon SHP;2020-10-17;
Keski-Suomen SHP;2020-10-17;
Etelä-Pohjanmaan SHP;2020-10-17;
Vaasan SHP;2020-10-17;
Keski-Pohjanmaan SHP;2020-10-17;
Pohjois-Pohjanmaan SHP;2020-10-17;
Kainuun SHP;2020-10-17;
Länsi-Pohjan SHP;2020-10-17;
Lapin SHP;2020-10-17;
Helsingin ja Uudenmaan SHP;2020-10-17;
Kaikki Alueet;2020-10-17;
Ahvenanmaa;2020-10-18;
Varsinais-Suomen SHP;2020-10-18;
Satakunnan SHP;2020-10-18;
Kanta-Hämeen SHP;2020-10-18;
Pirkanmaan SHP;2020-10-18;
Päijät-Hämeen SHP;2020-10-18;
Kymenlaakson SHP;2020-10-18;
Etelä-Karjalan SHP;2020-10-18;
Etelä-Savon SHP;2020-10-18;
Itä-Savon SHP;2020-10-18;
Pohjois-Karjalan SHP;2020-10-18;
Pohjois-Savon SHP;2020-10-18;
Keski-Suomen SHP;2020-10-18;
Etelä-Pohjanmaan SHP;2020-10-18;
Vaasan SHP;2020-10-18;
Keski-Pohjanmaan SHP;2020-10-18;
Pohjois-Pohjanmaan SHP;2020-10-18;
Kainuun SHP;2020-10-18;
Länsi-Pohjan SHP;2020-10-18;
Lapin SHP;2020-10-18;
Helsingin ja Uudenmaan SHP;2020-10-18;
Kaikki Alueet;2020-10-18;
Ahvenanmaa;2020-10-19;
Varsinais-Suomen SHP;2020-10-19;
Satakunnan SHP;2020-10-19;
Kanta-Hämeen SHP;2020-10-19;
Pirkanmaan SHP;2020-10-19;
Päijät-Hämeen SHP;2020-10-19;
Kymenlaakson SHP;2020-10-19;
Etelä-Karjalan SHP;2020-10-19;
Etelä-Savon SHP;2020-10-19;
Itä-Savon SHP;2020-10-19;
Pohjois-Karjalan SHP;2020-10-19;
Pohjois-Savon SHP;2020-10-19;
Keski-Suomen SHP;2020-10-19;
Etelä-Pohjanmaan SHP;2020-10-19;
Vaasan SHP;2020-10-19;
Keski-Pohjanmaan SHP;2020-10-19;
Pohjois-Pohjanmaan SHP;2020-10-19;
Kainuun SHP;2020-10-19;
Länsi-Pohjan SHP;2020-10-19;
Lapin SHP;2020-10-19;
Helsingin ja Uudenmaan SHP;2020-10-19;
Kaikki Alueet;2020-10-19;
Ahvenanmaa;2020-10-20;
Varsinais-Suomen SHP;2020-10-20;
Satakunnan SHP;2020-10-20;
Kanta-Hämeen SHP;2020-10-20;
Pirkanmaan SHP;2020-10-20;
Päijät-Hämeen SHP;2020-10-20;
Kymenlaakson SHP;2020-10-20;
Etelä-Karjalan SHP;2020-10-20;
Etelä-Savon SHP;2020-10-20;
Itä-Savon SHP;2020-10-20;
Pohjois-Karjalan SHP;2020-10-20;
Pohjois-Savon SHP;2020-10-20;
Keski-Suomen SHP;2020-10-20;
Etelä-Pohjanmaan SHP;2020-10-20;
Vaasan SHP;2020-10-20;
Keski-Pohjanmaan SHP;2020-10-20;
Pohjois-Pohjanmaan SHP;2020-10-20;
Kainuun SHP;2020-10-20;
Länsi-Pohjan SHP;2020-10-20;
Lapin SHP;2020-10-20;
Helsingin ja Uudenmaan SHP;2020-10-20;
Kaikki Alueet;2020-10-20;
Ahvenanmaa;2020-10-21;
Varsinais-Suomen SHP;2020-10-21;
Satakunnan SHP;2020-10-21;
Kanta-Hämeen SHP;2020-10-21;
Pirkanmaan SHP;2020-10-21;
Päijät-Hämeen SHP;2020-10-21;
Kymenlaakson SHP;2020-10-21;
Etelä-Karjalan SHP;2020-10-21;
Etelä-Savon SHP;2020-10-21;
Itä-Savon SHP;2020-10-21;
Pohjois-Karjalan SHP;2020-10-21;
Pohjois-Savon SHP;2020-10-21;
Keski-Suomen SHP;2020-10-21;
Etelä-Pohjanmaan SHP;2020-10-21;
Vaasan SHP;2020-10-21;
Keski-Pohjanmaan SHP;2020-10-21;
Pohjois-Pohjanmaan SHP;2020-10-21;
Kainuun SHP;2020-10-21;
Länsi-Pohjan SHP;2020-10-21;
Lapin SHP;2020-10-21;
Helsingin ja Uudenmaan SHP;2020-10-21;
Kaikki Alueet;2020-10-21;
Ahvenanmaa;2020-10-22;
Varsinais-Suomen SHP;2020-10-22;
Satakunnan SHP;2020-10-22;
Kanta-Hämeen SHP;2020-10-22;
Pirkanmaan SHP;2020-10-22;
Päijät-Hämeen SHP;2020-10-22;
Kymenlaakson SHP;2020-10-22;
Etelä-Karjalan SHP;2020-10-22;
Etelä-Savon SHP;2020-10-22;
Itä-Savon SHP;2020-10-22;
Pohjois-Karjalan SHP;2020-10-22;
Pohjois-Savon SHP;2020-10-22;
Keski-Suomen SHP;2020-10-22;
Etelä-Pohjanmaan SHP;2020-10-22;
Vaasan SHP;2020-10-22;
Keski-Pohjanmaan SHP;2020-10-22;
Pohjois-Pohjanmaan SHP;2020-10-22;
Kainuun SHP;2020-10-22;
Länsi-Pohjan SHP;2020-10-22;
Lapin SHP;2020-10-22;
Helsingin ja Uudenmaan SHP;2020-10-22;
Kaikki Alueet;2020-10-22;
Ahvenanmaa;2020-10-23;
Varsinais-Suomen SHP;2020-10-23;
Satakunnan SHP;2020-10-23;
Kanta-Hämeen SHP;2020-10-23;
Pirkanmaan SHP;2020-10-23;
Päijät-Hämeen SHP;2020-10-23;
Kymenlaakson SHP;2020-10-23;
Etelä-Karjalan SHP;2020-10-23;
Etelä-Savon SHP;2020-10-23;
Itä-Savon SHP;2020-10-23;
Pohjois-Karjalan SHP;2020-10-23;
Pohjois-Savon SHP;2020-10-23;
Keski-Suomen SHP;2020-10-23;
Etelä-Pohjanmaan SHP;2020-10-23;
Vaasan SHP;2020-10-23;
Keski-Pohjanmaan SHP;2020-10-23;
Pohjois-Pohjanmaan SHP;2020-10-23;
Kainuun SHP;2020-10-23;
Länsi-Pohjan SHP;2020-10-23;
Lapin SHP;2020-10-23;
Helsingin ja Uudenmaan SHP;2020-10-23;
Kaikki Alueet;2020-10-23;
Ahvenanmaa;2020-10-24;
Varsinais-Suomen SHP;2020-10-24;
Satakunnan SHP;2020-10-24;
Kanta-Hämeen SHP;2020-10-24;
Pirkanmaan SHP;2020-10-24;
Päijät-Hämeen SHP;2020-10-24;
Kymenlaakson SHP;2020-10-24;
Etelä-Karjalan SHP;2020-10-24;
Etelä-Savon SHP;2020-10-24;
Itä-Savon SHP;2020-10-24;
Pohjois-Karjalan SHP;2020-10-24;
Pohjois-Savon SHP;2020-10-24;
Keski-Suomen SHP;2020-10-24;
Etelä-Pohjanmaan SHP;2020-10-24;
Vaasan SHP;2020-10-24;
Keski-Pohjanmaan SHP;2020-10-24;
Pohjois-Pohjanmaan SHP;2020-10-24;
Kainuun SHP;2020-10-24;
Länsi-Pohjan SHP;2020-10-24;
Lapin SHP;2020-10-24;
Helsingin ja Uudenmaan SHP;2020-10-24;
Kaikki Alueet;2020-10-24;
Ahvenanmaa;2020-10-25;
Varsinais-Suomen SHP;2020-10-25;
Satakunnan SHP;2020-10-25;
Kanta-Hämeen SHP;2020-10-25;
Pirkanmaan SHP;2020-10-25;
Päijät-Hämeen SHP;2020-10-25;
Kymenlaakson SHP;2020-10-25;
Etelä-Karjalan SHP;2020-10-25;
Etelä-Savon SHP;2020-10-25;
Itä-Savon SHP;2020-10-25;
Pohjois-Karjalan SHP;2020-10-25;
Pohjois-Savon SHP;2020-10-25;
Keski-Suomen SHP;2020-10-25;
Etelä-Pohjanmaan SHP;2020-10-25;
Vaasan SHP;2020-10-25;
Keski-Pohjanmaan SHP;2020-10-25;
Pohjois-Pohjanmaan SHP;2020-10-25;
Kainuun SHP;2020-10-25;
Länsi-Pohjan SHP;2020-10-25;
Lapin SHP;2020-10-25;
Helsingin ja Uudenmaan SHP;2020-10-25;
Kaikki Alueet;2020-10-25;
Ahvenanmaa;2020-10-26;
Varsinais-Suomen SHP;2020-10-26;
Satakunnan SHP;2020-10-26;
Kanta-Hämeen SHP;2020-10-26;
Pirkanmaan SHP;2020-10-26;
Päijät-Hämeen SHP;2020-10-26;
Kymenlaakson SHP;2020-10-26;
Etelä-Karjalan SHP;2020-10-26;
Etelä-Savon SHP;2020-10-26;
Itä-Savon SHP;2020-10-26;
Pohjois-Karjalan SHP;2020-10-26;
Pohjois-Savon SHP;2020-10-26;
Keski-Suomen SHP;2020-10-26;
Etelä-Pohjanmaan SHP;2020-10-26;
Vaasan SHP;2020-10-26;
Keski-Pohjanmaan SHP;2020-10-26;
Pohjois-Pohjanmaan SHP;2020-10-26;
Kainuun SHP;2020-10-26;
Länsi-Pohjan SHP;2020-10-26;
Lapin SHP;2020-10-26;
Helsingin ja Uudenmaan SHP;2020-10-26;
Kaikki Alueet;2020-10-26;
Ahvenanmaa;2020-10-27;
Varsinais-Suomen SHP;2020-10-27;
Satakunnan SHP;2020-10-27;
Kanta-Hämeen SHP;2020-10-27;
Pirkanmaan SHP;2020-10-27;
Päijät-Hämeen SHP;2020-10-27;
Kymenlaakson SHP;2020-10-27;
Etelä-Karjalan SHP;2020-10-27;
Etelä-Savon SHP;2020-10-27;
Itä-Savon SHP;2020-10-27;
Pohjois-Karjalan SHP;2020-10-27;
Pohjois-Savon SHP;2020-10-27;
Keski-Suomen SHP;2020-10-27;
Etelä-Pohjanmaan SHP;2020-10-27;
Vaasan SHP;2020-10-27;
Keski-Pohjanmaan SHP;2020-10-27;
Pohjois-Pohjanmaan SHP;2020-10-27;
Kainuun SHP;2020-10-27;
Länsi-Pohjan SHP;2020-10-27;
Lapin SHP;2020-10-27;
Helsingin ja Uudenmaan SHP;2020-10-27;
Kaikki Alueet;2020-10-27;
Ahvenanmaa;2020-10-28;
Varsinais-Suomen SHP;2020-10-28;
Satakunnan SHP;2020-10-28;
Kanta-Hämeen SHP;2020-10-28;
Pirkanmaan SHP;2020-10-28;
Päijät-Hämeen SHP;2020-10-28;
Kymenlaakson SHP;2020-10-28;
Etelä-Karjalan SHP;2020-10-28;
Etelä-Savon SHP;2020-10-28;
Itä-Savon SHP;2020-10-28;
Pohjois-Karjalan SHP;2020-10-28;
Pohjois-Savon SHP;2020-10-28;
Keski-Suomen SHP;2020-10-28;
Etelä-Pohjanmaan SHP;2020-10-28;
Vaasan SHP;2020-10-28;
Keski-Pohjanmaan SHP;2020-10-28;
Pohjois-Pohjanmaan SHP;2020-10-28;
Kainuun SHP;2020-10-28;
Länsi-Pohjan SHP;2020-10-28;
Lapin SHP;2020-10-28;
Helsingin ja Uudenmaan SHP;2020-10-28;
Kaikki Alueet;2020-10-28;
Ahvenanmaa;2020-10-29;
Varsinais-Suomen SHP;2020-10-29;
Satakunnan SHP;2020-10-29;
Kanta-Hämeen SHP;2020-10-29;
Pirkanmaan SHP;2020-10-29;
Päijät-Hämeen SHP;2020-10-29;
Kymenlaakson SHP;2020-10-29;
Etelä-Karjalan SHP;2020-10-29;
Etelä-Savon SHP;2020-10-29;
Itä-Savon SHP;2020-10-29;
Pohjois-Karjalan SHP;2020-10-29;
Pohjois-Savon SHP;2020-10-29;
Keski-Suomen SHP;2020-10-29;
Etelä-Pohjanmaan SHP;2020-10-29;
Vaasan SHP;2020-10-29;
Keski-Pohjanmaan SHP;2020-10-29;
Pohjois-Pohjanmaan SHP;2020-10-29;
Kainuun SHP;2020-10-29;
Länsi-Pohjan SHP;2020-10-29;
Lapin SHP;2020-10-29;
Helsingin ja Uudenmaan SHP;2020-10-29;
Kaikki Alueet;2020-10-29;
Ahvenanmaa;2020-10-30;
Varsinais-Suomen SHP;2020-10-30;
Satakunnan SHP;2020-10-30;
Kanta-Hämeen SHP;2020-10-30;
Pirkanmaan SHP;2020-10-30;
Päijät-Hämeen SHP;2020-10-30;
Kymenlaakson SHP;2020-10-30;
Etelä-Karjalan SHP;2020-10-30;
Etelä-Savon SHP;2020-10-30;
Itä-Savon SHP;2020-10-30;
Pohjois-Karjalan SHP;2020-10-30;
Pohjois-Savon SHP;2020-10-30;
Keski-Suomen SHP;2020-10-30;
Etelä-Pohjanmaan SHP;2020-10-30;
Vaasan SHP;2020-10-30;
Keski-Pohjanmaan SHP;2020-10-30;
Pohjois-Pohjanmaan SHP;2020-10-30;
Kainuun SHP;2020-10-30;
Länsi-Pohjan SHP;2020-10-30;
Lapin SHP;2020-10-30;
Helsingin ja Uudenmaan SHP;2020-10-30;
Kaikki Alueet;2020-10-30;
Ahvenanmaa;2020-10-31;
Varsinais-Suomen SHP;2020-10-31;
Satakunnan SHP;2020-10-31;
Kanta-Hämeen SHP;2020-10-31;
Pirkanmaan SHP;2020-10-31;
Päijät-Hämeen SHP;2020-10-31;
Kymenlaakson SHP;2020-10-31;
Etelä-Karjalan SHP;2020-10-31;
Etelä-Savon SHP;2020-10-31;
Itä-Savon SHP;2020-10-31;
Pohjois-Karjalan SHP;2020-10-31;
Pohjois-Savon SHP;2020-10-31;
Keski-Suomen SHP;2020-10-31;
Etelä-Pohjanmaan SHP;2020-10-31;
Vaasan SHP;2020-10-31;
Keski-Pohjanmaan SHP;2020-10-31;
Pohjois-Pohjanmaan SHP;2020-10-31;
Kainuun SHP;2020-10-31;
Länsi-Pohjan SHP;2020-10-31;
Lapin SHP;2020-10-31;
Helsingin ja Uudenmaan SHP;2020-10-31;
Kaikki Alueet;2020-10-31;
Ahvenanmaa;2020-11-01;
Varsinais-Suomen SHP;2020-11-01;
Satakunnan SHP;2020-11-01;
Kanta-Hämeen SHP;2020-11-01;
Pirkanmaan SHP;2020-11-01;
Päijät-Hämeen SHP;2020-11-01;
Kymenlaakson SHP;2020-11-01;
Etelä-Karjalan SHP;2020-11-01;
Etelä-Savon SHP;2020-11-01;
Itä-Savon SHP;2020-11-01;
Pohjois-Karjalan SHP;2020-11-01;
Pohjois-Savon SHP;2020-11-01;
Keski-Suomen SHP;2020-11-01;
Etelä-Pohjanmaan SHP;2020-11-01;
Vaasan SHP;2020-11-01;
Keski-Pohjanmaan SHP;2020-11-01;
Pohjois-Pohjanmaan SHP;2020-11-01;
Kainuun SHP;2020-11-01;
Länsi-Pohjan SHP;2020-11-01;
Lapin SHP;2020-11-01;
Helsingin ja Uudenmaan SHP;2020-11-01;
Kaikki Alueet;2020-11-01;
Ahvenanmaa;2020-11-02;
Varsinais-Suomen SHP;2020-11-02;
Satakunnan SHP;2020-11-02;
Kanta-Hämeen SHP;2020-11-02;
Pirkanmaan SHP;2020-11-02;
Päijät-Hämeen SHP;2020-11-02;
Kymenlaakson SHP;2020-11-02;
Etelä-Karjalan SHP;2020-11-02;
Etelä-Savon SHP;2020-11-02;
Itä-Savon SHP;2020-11-02;
Pohjois-Karjalan SHP;2020-11-02;
Pohjois-Savon SHP;2020-11-02;
Keski-Suomen SHP;2020-11-02;
Etelä-Pohjanmaan SHP;2020-11-02;
Vaasan SHP;2020-11-02;
Keski-Pohjanmaan SHP;2020-11-02;
Pohjois-Pohjanmaan SHP;2020-11-02;
Kainuun SHP;2020-11-02;
Länsi-Pohjan SHP;2020-11-02;
Lapin SHP;2020-11-02;
Helsingin ja Uudenmaan SHP;2020-11-02;
Kaikki Alueet;2020-11-02;
Ahvenanmaa;2020-11-03;
Varsinais-Suomen SHP;2020-11-03;
Satakunnan SHP;2020-11-03;
Kanta-Hämeen SHP;2020-11-03;
Pirkanmaan SHP;2020-11-03;
Päijät-Hämeen SHP;2020-11-03;
Kymenlaakson SHP;2020-11-03;
Etelä-Karjalan SHP;2020-11-03;
Etelä-Savon SHP;2020-11-03;
Itä-Savon SHP;2020-11-03;
Pohjois-Karjalan SHP;2020-11-03;
Pohjois-Savon SHP;2020-11-03;
Keski-Suomen SHP;2020-11-03;
Etelä-Pohjanmaan SHP;2020-11-03;
Vaasan SHP;2020-11-03;
Keski-Pohjanmaan SHP;2020-11-03;
Pohjois-Pohjanmaan SHP;2020-11-03;
Kainuun SHP;2020-11-03;
Länsi-Pohjan SHP;2020-11-03;
Lapin SHP;2020-11-03;
Helsingin ja Uudenmaan SHP;2020-11-03;
Kaikki Alueet;2020-11-03;
Ahvenanmaa;2020-11-04;
Varsinais-Suomen SHP;2020-11-04;
Satakunnan SHP;2020-11-04;
Kanta-Hämeen SHP;2020-11-04;
Pirkanmaan SHP;2020-11-04;
Päijät-Hämeen SHP;2020-11-04;
Kymenlaakson SHP;2020-11-04;
Etelä-Karjalan SHP;2020-11-04;
Etelä-Savon SHP;2020-11-04;
Itä-Savon SHP;2020-11-04;
Pohjois-Karjalan SHP;2020-11-04;
Pohjois-Savon SHP;2020-11-04;
Keski-Suomen SHP;2020-11-04;
Etelä-Pohjanmaan SHP;2020-11-04;
Vaasan SHP;2020-11-04;
Keski-Pohjanmaan SHP;2020-11-04;
Pohjois-Pohjanmaan SHP;2020-11-04;
Kainuun SHP;2020-11-04;
Länsi-Pohjan SHP;2020-11-04;
Lapin SHP;2020-11-04;
Helsingin ja Uudenmaan SHP;2020-11-04;
Kaikki Alueet;2020-11-04;
Ahvenanmaa;2020-11-05;
Varsinais-Suomen SHP;2020-11-05;
Satakunnan SHP;2020-11-05;
Kanta-Hämeen SHP;2020-11-05;
Pirkanmaan SHP;2020-11-05;
Päijät-Hämeen SHP;2020-11-05;
Kymenlaakson SHP;2020-11-05;
Etelä-Karjalan SHP;2020-11-05;
