Alue;Aika;val
Päijät-Hämeen SHP;2020-01-17;
Kymenlaakson SHP;2020-01-17;
Etelä-Karjalan SHP;2020-01-17;
Etelä-Savon SHP;2020-01-17;
Itä-Savon SHP;2020-01-17;
Pohjois-Karjalan SHP;2020-01-17;
Pohjois-Savon SHP;2020-01-17;
Keski-Suomen SHP;2020-01-17;
Etelä-Pohjanmaan SHP;2020-01-17;
Vaasan SHP;2020-01-17;
Keski-Pohjanmaan SHP;2020-01-17;
Pohjois-Pohjanmaan SHP;2020-01-17;
Kainuun SHP;2020-01-17;
Länsi-Pohjan SHP;2020-01-17;
Lapin SHP;2020-01-17;
Helsingin ja Uudenmaan SHP;2020-01-17;
Kaikki Alueet;2020-01-17;
Ahvenanmaa;2020-01-18;
Varsinais-Suomen SHP;2020-01-18;
Satakunnan SHP;2020-01-18;
Kanta-Hämeen SHP;2020-01-18;
Pirkanmaan SHP;2020-01-18;
Päijät-Hämeen SHP;2020-01-18;
Kymenlaakson SHP;2020-01-18;
Etelä-Karjalan SHP;2020-01-18;
Etelä-Savon SHP;2020-01-18;
Itä-Savon SHP;2020-01-18;
Pohjois-Karjalan SHP;2020-01-18;
Pohjois-Savon SHP;2020-01-18;
Keski-Suomen SHP;2020-01-18;
Etelä-Pohjanmaan SHP;2020-01-18;
Vaasan SHP;2020-01-18;
Keski-Pohjanmaan SHP;2020-01-18;
Pohjois-Pohjanmaan SHP;2020-01-18;
Kainuun SHP;2020-01-18;
Länsi-Pohjan SHP;2020-01-18;
Lapin SHP;2020-01-18;
Helsingin ja Uudenmaan SHP;2020-01-18;
Kaikki Alueet;2020-01-18;
Ahvenanmaa;2020-01-19;
Varsinais-Suomen SHP;2020-01-19;
Satakunnan SHP;2020-01-19;
Kanta-Hämeen SHP;2020-01-19;
Pirkanmaan SHP;2020-01-19;
Päijät-Hämeen SHP;2020-01-19;
Kymenlaakson SHP;2020-01-19;
Etelä-Karjalan SHP;2020-01-19;
Etelä-Savon SHP;2020-01-19;
Itä-Savon SHP;2020-01-19;
Pohjois-Karjalan SHP;2020-01-19;
Pohjois-Savon SHP;2020-01-19;
Keski-Suomen SHP;2020-01-19;
Etelä-Pohjanmaan SHP;2020-01-19;
Vaasan SHP;2020-01-19;
Keski-Pohjanmaan SHP;2020-01-19;
Pohjois-Pohjanmaan SHP;2020-01-19;
Kainuun SHP;2020-01-19;
Länsi-Pohjan SHP;2020-01-19;
Lapin SHP;2020-01-19;
Helsingin ja Uudenmaan SHP;2020-01-19;
Kaikki Alueet;2020-01-19;
Ahvenanmaa;2020-01-20;
Varsinais-Suomen SHP;2020-01-20;
Satakunnan SHP;2020-01-20;
Kanta-Hämeen SHP;2020-01-20;
Pirkanmaan SHP;2020-01-20;
Päijät-Hämeen SHP;2020-01-20;
Kymenlaakson SHP;2020-01-20;
Etelä-Karjalan SHP;2020-01-20;
Etelä-Savon SHP;2020-01-20;
Itä-Savon SHP;2020-01-20;
Pohjois-Karjalan SHP;2020-01-20;
Pohjois-Savon SHP;2020-01-20;
Keski-Suomen SHP;2020-01-20;
Etelä-Pohjanmaan SHP;2020-01-20;
Vaasan SHP;2020-01-20;
Keski-Pohjanmaan SHP;2020-01-20;
Pohjois-Pohjanmaan SHP;2020-01-20;
Kainuun SHP;2020-01-20;
Länsi-Pohjan SHP;2020-01-20;
Lapin SHP;2020-01-20;
Helsingin ja Uudenmaan SHP;2020-01-20;
Kaikki Alueet;2020-01-20;
Ahvenanmaa;2020-01-21;
Varsinais-Suomen SHP;2020-01-21;
Satakunnan SHP;2020-01-21;
Kanta-Hämeen SHP;2020-01-21;
Pirkanmaan SHP;2020-01-21;
Päijät-Hämeen SHP;2020-01-21;
Kymenlaakson SHP;2020-01-21;
Etelä-Karjalan SHP;2020-01-21;
Etelä-Savon SHP;2020-01-21;
Itä-Savon SHP;2020-01-21;
Pohjois-Karjalan SHP;2020-01-21;
Pohjois-Savon SHP;2020-01-21;
Keski-Suomen SHP;2020-01-21;
Etelä-Pohjanmaan SHP;2020-01-21;
Vaasan SHP;2020-01-21;
Keski-Pohjanmaan SHP;2020-01-21;
Pohjois-Pohjanmaan SHP;2020-01-21;
Kainuun SHP;2020-01-21;
Länsi-Pohjan SHP;2020-01-21;
Lapin SHP;2020-01-21;
Helsingin ja Uudenmaan SHP;2020-01-21;
Kaikki Alueet;2020-01-21;
Ahvenanmaa;2020-01-22;
Varsinais-Suomen SHP;2020-01-22;
Satakunnan SHP;2020-01-22;
Kanta-Hämeen SHP;2020-01-22;
Pirkanmaan SHP;2020-01-22;
Päijät-Hämeen SHP;2020-01-22;
Kymenlaakson SHP;2020-01-22;
Etelä-Karjalan SHP;2020-01-22;
Etelä-Savon SHP;2020-01-22;
Itä-Savon SHP;2020-01-22;
Pohjois-Karjalan SHP;2020-01-22;
Pohjois-Savon SHP;2020-01-22;
Keski-Suomen SHP;2020-01-22;
Etelä-Pohjanmaan SHP;2020-01-22;
Vaasan SHP;2020-01-22;
Keski-Pohjanmaan SHP;2020-01-22;
