"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"342","2021-04-01","51","58","4"
"343","2021-04-02","46","33","1"
"344","2021-04-03","38","31","3"
"345","2021-04-04","42","38","6"
"346","2021-04-05","63","84","71"
"347","2021-04-06","28","91","179"
"348","2021-04-07","31","108","131"
"349","2021-04-08","32","97","74"
"350","2021-04-09","37","83","89"
"351","2021-04-10","60","50","12"
"352","2021-04-11","37","45","3"
"353","2021-04-12","55","113","188"
"354","2021-04-13","39","77","78"
"355","2021-04-14","33","111","68"
"356","2021-04-15","34","111","162"
"357","2021-04-16","35","64","96"
"358","2021-04-17","31","36","35"
"359","2021-04-18","34","52","4"
"360","2021-04-19","33","76","70"
"361","2021-04-20","55","71","7"
"362","2021-04-21","24","77","172"
"363","2021-04-22","32","48","93"
"364","2021-04-23","23","81","116"
"365","2021-04-24","23","28","2"
"366","2021-04-25","39","20","6"
"367","2021-04-26","25","59","50"
"368","2021-04-27","32","41","30"
"369","2021-04-28","32","79","90"
"370","2021-04-29","24","36","35"
"371","2021-04-30","23","31","3"
"372","2021-05-01","40","37","8"
"373","2021-05-02","22","30","2"
"374","2021-05-03","33","40","73"
"375","2021-05-04","20","26","93"
"376","2021-05-05","26","40","59"
"377","2021-05-06","14","50","60"
"378","2021-05-07","24","52","69"
"379","2021-05-08","34","32","44"
"380","2021-05-09","28","24","6"
"381","2021-05-10","45","37","46"
"382","2021-05-11","27","44","75"
"383","2021-05-12","33","63","128"
"384","2021-05-13","28","67","44"
"385","2021-05-14","34","39","46"
"386","2021-05-15","38","27","14"
"387","2021-05-16","29","21","6"
"388","2021-05-17","29","59","37"
"389","2021-05-18","19","67","29"
"390","2021-05-19","19","47","111"
"391","2021-05-20","49","45","26"
"392","2021-05-21","31","49","71"
"393","2021-05-22","30","37","9"
"394","2021-05-23","28","45","13"
"395","2021-05-24","25","47","64"
"396","2021-05-25","39","56","24"
"397","2021-05-26","35","44","52"
"398","2021-05-27","30","51","74"
"399","2021-05-28","52","52","89"
"400","2021-05-29","34","41","5"
"401","2021-05-30","33","24","5"
"402","2021-05-31","34","67","81"
"403","2021-06-01","53","70","31"
"404","2021-06-02","41","72","77"
"405","2021-06-03","38","84","75"
"406","2021-06-04","34","65","55"
"407","2021-06-05","34","68","7"
"408","2021-06-06","29","32","7"
"409","2021-06-07","26","80","87"
"410","2021-06-08","18","72","91"
"411","2021-06-09","22","35","105"
"412","2021-06-10","35","79","152"
"413","2021-06-11","24","46","108"
"414","2021-06-12","25","20","12"
"415","2021-06-13","35","26","12"
"416","2021-06-14","40","52","59"
"417","2021-06-15","46","51","88"
"418","2021-06-16","29","45","38"
"419","2021-06-17","30","61","35"
"420","2021-06-18","45","67","54"
"421","2021-06-19","42","33","3"
"422","2021-06-20","58","20","15"
"423","2021-06-21","34","66","48"
"424","2021-06-22","38","51","111"
"425","2021-06-23","31","59","87"
"426","2021-06-24","31","85","52"
"427","2021-06-25","35","70","62"
"428","2021-06-26","48","43","10"
"429","2021-06-27","39","63","14"
"430","2021-06-28","47","53","20"
"431","2021-06-29","36","74","86"
"432","2021-06-30","47","43","134"
"433","2021-07-01","57","57","83"
"434","2021-07-02","50","76","44"
"435","2021-07-03","69","70","5"
"436","2021-07-04","68","38","7"
"437","2021-07-05","59","123","102"
"438","2021-07-06","69","94","106"
"439","2021-07-07","56","130","84"
"440","2021-07-08","52","103","191"
"441","2021-07-09","58","96","72"
"442","2021-07-10","72","46","39"
"443","2021-07-11","49","43","21"
"444","2021-07-12","70","101","146"
"445","2021-07-13","50","73","94"
"446","2021-07-14","56","84","76"
"447","2021-07-15","50","108","107"
"448","2021-07-16","55","82","65"
"449","2021-07-17","64","73","10"
"450","2021-07-18","54","27","15"
"451","2021-07-19","44","123","119"
"452","2021-07-20","67","104","106"
"453","2021-07-21","39","109","65"
"454","2021-07-22","41","71","102"
"455","2021-07-23","49","75","74"
"456","2021-07-24","51","56","28"
"457","2021-07-25","39","29","15"
"458","2021-07-26","31","93","114"
"459","2021-07-27","42","83","49"
"460","2021-07-28","34","73","128"
"461","2021-07-29","25","72","80"
"462","2021-07-30","29","80","66"
"463","2021-07-31","24","77","18"
"464","2021-08-01","54","42","17"
"465","2021-08-02","61","96","55"
"466","2021-08-03","38","82","101"
