Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;AktivaCOVID19infekcija;;;
2020.03.21.;Sējas novads;0809200;no 1 līdz 5;...;;;
2020.03.21.;Siguldas novads;0801601;no 1 līdz 5;...;;;
2020.03.21.;Skrīveru novads;0328200;0;...;;;
2020.03.21.;Skrundas novads;0621200;0;...;;;
2020.03.21.;Smiltenes novads;0941600;no 1 līdz 5;...;;;
2020.03.21.;Stopiņu novads;0809600;no 1 līdz 5;...;;;
2020.03.21.;Strenču novads;0941800;0;...;;;
2020.03.21.;Talsu novads;0880200;0;...;;;
2020.03.21.;Tērvetes novads;0468900;0;...;;;
2020.03.21.;Tukuma novads;0900200;0;...;;;
2020.03.21.;Vaiņodes novads;0649300;0;...;;;
2020.03.21.;Valkas novads;0940200;0;...;;;
2020.03.21.;Valmiera;0250000;0;...;;;
2020.03.21.;Varakļānu novads;0701800;0;...;;;
2020.03.21.;Vārkavas novads;0769101;0;...;;;
2020.03.21.;Vecpiebalgas novads;0429300;0;...;;;
2020.03.21.;Vecumnieku novads;0409500;no 1 līdz 5;...;;;
2020.03.21.;Ventspils;0270000;0;...;;;
2020.03.21.;Ventspils novads;0980200;no 1 līdz 5;...;;;
2020.03.21.;Viesītes novads;0561800;0;...;;;
2020.03.21.;Viļakas novads;0381600;0;...;;;
2020.03.21.;Viļānu novads;0781800;0;...;;;
2020.03.21.;Zilupes novads;0681801;0;...;;;
2020.03.22.;Adrese nav norādīta;Nav;0;...;;;
2020.03.22.;Aglonas novads;0604300;0;...;;;
2020.03.22.;Aizkraukles novads;0320200;no 1 līdz 5;...;;;
2020.03.22.;Aizputes novads;0640600;0;...;;;
2020.03.22.;Aknīstes novads;0560800;0;...;;;
2020.03.22.;Alojas novads;0661000;0;...;;;
2020.03.22.;Alsungas novads;0624200;0;...;;;
2020.03.22.;Alūksnes novads;0360200;0;...;;;
2020.03.22.;Amatas novads;0424701;0;...;;;
2020.03.22.;Apes novads;0360800;0;...;;;
2020.03.22.;Auces novads;0460800;0;...;;;
2020.03.22.;Ādažu novads;0804400;0;...;;;
2020.03.22.;Babītes novads;0804900;no 1 līdz 5;...;;;
2020.03.22.;Baldones novads;0800600;0;...;;;
2020.03.22.;Baltinavas novads;0384400;0;...;;;
2020.03.22.;Balvu novads;0380200;0;...;;;
2020.03.22.;Bauskas novads;0400200;no 1 līdz 5;...;;;
2020.03.22.;Beverīnas novads;0964700;0;...;;;
2020.03.22.;Brocēnu novads;0840601;0;...;;;
2020.03.22.;Burtnieku novads;0967101;0;...;;;
2020.03.22.;Carnikavas novads;0805200;no 1 līdz 5;...;;;
2020.03.22.;Cesvaines novads;0700800;0;...;;;
2020.03.22.;Cēsu novads;0420200;no 1 līdz 5;...;;;
2020.03.22.;Ciblas novads;0684901;0;...;;;
2020.03.22.;Dagdas novads;0601000;0;...;;;
2020.03.22.;Daugavpils;0050000;no 1 līdz 5;...;;;
2020.03.22.;Daugavpils novads;0440200;0;...;;;
2020.03.22.;Dobeles novads;0460200;0;...;;;
2020.03.22.;Dundagas novads;0885100;0;...;;;
2020.03.22.;Durbes novads;0640801;0;...;;;
2020.03.22.;Engures novads;0905100;0;...;;;
2020.03.22.;Ērgļu novads;0705500;0;...;;;
2020.03.22.;Garkalnes novads;0806000;no 1 līdz 5;...;;;
2020.03.22.;Grobiņas novads;0641000;no 1 līdz 5;...;;;
2020.03.22.;Gulbenes novads;0500200;0;...;;;
2020.03.22.;Iecavas novads;0406400;0;...;;;
2020.03.22.;Ikšķiles novads;0740600;0;...;;;
2020.03.22.;Ilūkstes novads;0440801;0;...;;;
2020.03.22.;Inčukalna novads;0801800;0;...;;;
2020.03.22.;Jaunjelgavas novads;0321000;0;...;;;
2020.03.22.;Jaunpiebalgas novads;0425700;0;...;;;
2020.03.22.;Jaunpils novads;0905700;0;...;;;
2020.03.22.;Jelgava;0090000;no 1 līdz 5;...;;;
2020.03.22.;Jelgavas novads;0540200;0;...;;;
2020.03.22.;Jēkabpils;0110000;no 1 līdz 5;...;;;
2020.03.22.;Jēkabpils novads;0560200;0;...;;;
2020.03.22.;Jūrmala;0130000;10;...;;;
2020.03.22.;Kandavas novads;0901201;0;...;;;
2020.03.22.;Kārsavas novads;0681000;0;...;;;
2020.03.22.;Kocēnu novads;0960200;0;...;;;
2020.03.22.;Kokneses novads;0326100;0;...;;;
2020.03.22.;Krāslavas novads;0600202;0;...;;;
2020.03.22.;Krimuldas novads;0806900;0;...;;;
2020.03.22.;Krustpils novads;0566900;0;...;;;
2020.03.22.;Kuldīgas novads;0620200;no 1 līdz 5;...;;;
2020.03.22.;Ķeguma novads;0741001;0;...;;;
2020.03.22.;Ķekavas novads;0800800;no 1 līdz 5;...;;;
2020.03.22.;Lielvārdes novads;0741401;0;...;;;
2020.03.22.;Liepāja;0170000;no 1 līdz 5;...;;;
2020.03.22.;Limbažu novads;0660200;no 1 līdz 5;...;;;
2020.03.22.;Līgatnes novads;0421200;0;...;;;
2020.03.22.;Līvānu novads;0761201;0;...;;;
2020.03.22.;Lubānas novads;0701400;0;...;;;
2020.03.22.;Ludzas novads;0680200;0;...;;;
2020.03.22.;Madonas novads;0700200;0;...;;;
2020.03.22.;Mazsalacas novads;0961000;0;...;;;
2020.03.22.;Mālpils novads;0807400;0;...;;;
2020.03.22.;Mārupes novads;0807600;no 1 līdz 5;...;;;
2020.03.22.;Mērsraga novads;0887600;0;...;;;
2020.03.22.;Naukšēnu novads;0967300;0;...;;;
2020.03.22.;Neretas novads;0327100;0;...;;;
2020.03.22.;Nīcas novads;0647900;0;...;;;
2020.03.22.;Ogres novads;0740202;no 1 līdz 5;...;;;
2020.03.22.;Olaines novads;0801000;no 1 līdz 5;...;;;
2020.03.22.;Ozolnieku novads;0546701;no 1 līdz 5;...;;;
2020.03.22.;Pārgaujas novads;0427500;0;...;;;
2020.03.22.;Pāvilostas novads;0641401;0;...;;;
2020.03.22.;Pļaviņu novads;0321400;0;...;;;
2020.03.22.;Preiļu novads;0760202;0;...;;;
2020.03.22.;Priekules novads;0641600;0;...;;;
2020.03.22.;Priekuļu novads;0427300;0;...;;;
2020.03.22.;Raunas novads;0427700;0;...;;;
2020.03.22.;Rēzekne;0210000;no 1 līdz 5;...;;;
2020.03.22.;Rēzeknes novads;0780200;0;...;;;
2020.03.22.;Riebiņu novads;0766300;0;...;;;
2020.03.22.;Rīga;0010000;77;...;;;
2020.03.22.;Rojas novads;0888301;0;...;;;
2020.03.22.;Ropažu novads;0808400;0;...;;;
2020.03.22.;Rucavas novads;0648500;0;...;;;
2020.03.22.;Rugāju novads;0387500;0;...;;;
2020.03.22.;Rundāles novads;0407700;0;...;;;
2020.03.22.;Rūjienas novads;0961600;0;...;;;
2020.03.22.;Salacgrīvas novads;0661400;0;...;;;
2020.03.22.;Salas novads;0568700;0;...;;;
2020.03.22.;Salaspils novads;0801200;no 1 līdz 5;...;;;
2020.03.22.;Saldus novads;0840200;0;...;;;
2020.03.22.;Saulkrastu novads;0801400;0;...;;;
2020.03.22.;Sējas novads;0809200;no 1 līdz 5;...;;;
2020.03.22.;Siguldas novads;0801601;no 1 līdz 5;...;;;
2020.03.22.;Skrīveru novads;0328200;0;...;;;
2020.03.22.;Skrundas novads;0621200;0;...;;;
2020.03.22.;Smiltenes novads;0941600;no 1 līdz 5;...;;;
2020.03.22.;Stopiņu novads;0809600;no 1 līdz 5;...;;;
2020.03.22.;Strenču novads;0941800;0;...;;;
2020.03.22.;Talsu novads;0880200;0;...;;;
2020.03.22.;Tērvetes novads;0468900;0;...;;;
2020.03.22.;Tukuma novads;0900200;0;...;;;
2020.03.22.;Vaiņodes novads;0649300;0;...;;;
2020.03.22.;Valkas novads;0940200;0;...;;;
2020.03.22.;Valmiera;0250000;0;...;;;
2020.03.22.;Varakļānu novads;0701800;0;...;;;
2020.03.22.;Vārkavas novads;0769101;0;...;;;
2020.03.22.;Vecpiebalgas novads;0429300;0;...;;;
2020.03.22.;Vecumnieku novads;0409500;no 1 līdz 5;...;;;
2020.03.22.;Ventspils;0270000;0;...;;;
2020.03.22.;Ventspils novads;0980200;no 1 līdz 5;...;;;
2020.03.22.;Viesītes novads;0561800;0;...;;;
2020.03.22.;Viļakas novads;0381600;0;...;;;
